"","PolicyNum","Year","ClaimBC","ClaimIM","ClaimPN","ClaimPO","ClaimCN","ClaimCO","TypeCity","TypeCounty","TypeMisc","TypeSchool","TypeTown","TypeVillage","IsRC","CoverageBC","lnDeductBC","NoClaimCreditBC","yAvgBC","FreqBC","CoverageIM","lnDeductIM","NoClaimCreditIM","yAvgIM","FreqIM","CoveragePN","NoClaimCreditPN","yAvgPN","FreqPN","CoveragePO","NoClaimCreditPO","yAvgPO","FreqPO","CoverageCN","NoClaimCreditCN","yAvgCN","FreqCN","CoverageCO","NoClaimCreditCO","yAvgCO","FreqCO"
"32",120010,2010,35000,0,7930.75,3265.75,27563.6,0,0,1,0,0,0,0,1,99.135847,10.1266311038503,0,35000,1,3.822393,8.51719319141624,0,0,0,0.248332,0,528.716666666667,15,4.231434,0,544.291666666667,6,0.248332,0,9187.86666666667,3,4.231434,0,0,0
"33",120012,2006,55273.39,27388.1,0,1637.16,33760.06,21117.36,0,1,0,0,0,0,1,447.277005,6.21460809842219,0,3454.586875,16,22.406203,6.21460809842219,0,27388.1,1,6.759521,0,0,0,11.714553,0,1637.16,1,2.83991,0,11253.3533333333,3,1.434916,0,10558.68,2
"34",120012,2007,366403.42,24826.85,45104.58,8371.25,29859.95,39733.86,0,1,0,0,0,0,1,478.182819,6.21460809842219,0,30533.6183333333,12,24.600357,6.21460809842219,0,12413.425,2,8.03082,0,15034.86,3,12.849226,0,2790.41666666667,3,3.19594,0,5971.99,5,1.798648,0,9933.465,4
"35",120012,2008,47562.49,6136.08,6081.67,238325.42,112512.03,41106.37,0,1,0,0,0,0,1,511.339313,6.21460809842219,0,4756.249,10,24.231205,6.21460809842219,0,3068.04,2,4.860805,0,6081.67,1,16.706295,0,119162.71,2,2.033334,0,10228.3663636364,11,3.430887,0,5872.33857142857,7
"36",120012,2009,158777.17,43734.7,19774.72,3524.39,66544.35,32175.55,0,1,0,0,0,0,1,584.335432,6.21460809842219,0,9339.83352941177,17,29.218043,6.21460809842219,0,21867.35,2,4.537363,0,3295.78666666667,6,19.035157,0,3524.39,1,0.925978,0,4753.16785714286,14,4.572182,0,4596.50714285714,7
"37",120012,2010,83934.7,49206.75,29340.05,2927.53,43261,64142.42,0,1,0,0,0,0,1,569.366096,6.21460809842219,0,5245.91875,16,30.918722,6.21460809842219,0,24603.375,2,3.317044,0,2445.00416666667,12,20.007796,0,2927.53,1,0.626015,0,3327.76923076923,13,4.838009,0,7126.93555555556,9
"38",120013,2006,20169.21,0,11830.72,0,0,0,0,1,0,0,0,0,1,127.590738,6.21460809842219,0,6723.07,3,8.817912,6.21460809842219,0,0,0,1.255835,0,3943.57333333333,3,5.398116,0,0,0,0,0,0,0,0,0,0,0
"39",120013,2007,13101.99,0,0,3929.02,0,0,0,1,0,0,0,0,1,138.368204,6.21460809842219,0,2183.665,6,8.222136,6.21460809842219,0,0,0,1.476879,0,0,0,5.873868,0,1964.51,2,0,0,0,0,0,0,0,0
"40",120013,2008,41266.18,0,3243.9,8410.41,0,0,0,1,0,0,0,0,1,145.526388,6.21460809842219,0,10316.545,4,7.64087,6.21460809842219,1,0,0,1.645174,0,3243.9,1,6.257139,0,2803.47,3,0,0,0,0,0,0,0,0
"41",120013,2009,0,0,2293.91,4159.22,0,0,0,1,0,0,0,0,1,152.772888,6.21460809842219,0,0,0,8.06892,6.21460809842219,1,0,0,1.910252,0,2293.91,1,6.034302,0,1386.40666666667,3,0,0,0,0,0,0,0,0
"42",120013,2010,63529.9,0,6488.3,6591.13,0,0,0,1,0,0,0,0,1,163.526511,6.21460809842219,0,12705.98,5,7.459706,6.21460809842219,1,0,0,2.411459,0,3244.15,2,6.001908,0,1647.7825,4,0,0,0,0,0,0,0,0
"43",120015,2006,8648.1,485485.21,9252.55,13294.63,42947.96,19437.94,0,1,0,0,0,0,0,84.15447,6.90775527898214,0,1441.35,6,12.040945,6.90775527898214,0,485485.21,1,1.834229,0,1028.06111111111,9,6.448318,0,1661.82875,8,1.834229,0,7157.99333333333,6,6.448318,0,3239.65666666667,6
"44",120015,2007,26819.98,0,10477.54,32784.69,9742.25,22146,0,1,0,0,0,0,0,92.383555,6.90775527898214,0,5363.996,5,12.502016,6.90775527898214,0,0,0,1.771406,0,2095.508,5,7.666761,0,8196.1725,4,1.771406,0,4871.125,2,7.666761,0,3163.71428571429,7
"45",120015,2008,52866.97,4312.4,57632.37,29745,111263.92,12299.55,0,1,0,0,0,0,0,96.832364,6.90775527898214,0,6608.37125,8,10.898386,6.90775527898214,0,2156.2,2,1.858598,0,11526.474,5,7.477945,0,5949,5,1.858598,0,18543.9866666667,6,7.477945,0,3074.8875,4
"46",120015,2009,36411.4,1477.08,2479.28,14167.3,6814.6,83239.45,0,1,0,0,0,0,0,101.407523,6.90775527898214,0,9102.85,4,11.170419,6.90775527898214,0,1477.08,1,2.350714,0,826.426666666667,3,8.01282,0,2361.21666666667,6,2.350714,0,6814.6,1,8.01282,0,10404.93125,8
